Accident Index, Vehicles, Basic Method Privacy Loss - 0.8, Basic Method Winner - 0.8, Turn Based Privacy Loss - 0.8, Turn Based Winner - 0.8, Auction Method Privacy Loss - 0.8, Auction Method Winner - 0.8, Modified Auction Method Privacy Loss - 0.8, Modified Auction Method Winner - 0.8, Basic Method Privacy Loss - 0.5, Basic Method Winner - 0.5, Turn Based Privacy Loss - 0.5, Turn Based Winner - 0.5, Auction Method Privacy Loss - 0.5, Auction Method Winner - 0.5, Modified Auction Method Privacy Loss - 0.5, Modified Auction Method Winner - 0.5, Basic Method Privacy Loss - 0.3, Basic Method Winner - 0.3, Turn Based Privacy Loss - 0.3, Turn Based Winner - 0.3, Auction Method Privacy Loss - 0.3, Auction Method Winner - 0.3, Modified Auction Method Privacy Loss - 0.3, Modified Auction Method Winner - 0.3
201597UD70512, v1, 100, W, 67.048, L, 100, W, 67.048, L, 8.217, W, 8.217, W, 8.217, W, 8.217, W, 8.217, W, 8.217, W, 8.217, W, 8.217, W
201597UD70512, v2, 100, L, 75.204, W, 100, L, 100, W, 36.813, L, 0, L, 36.813, L, 0, L, 12.016, L, 0, L, 12.016, L, 0, L
201597UD06204, v1, 63.197, W, 25.279, W, 37.918, W, 37.918, W, 18.439, L, 0, L, 18.439, L, 18.439, L, 0, W, 0, W, 0, W, 0, W
201597UD06204, v2, 60.826, L, 0, L, 60.826, L, 15.239, L, 35.837, W, 15.239, W, 15.239, W, 15.239, W, 0, L, 0, L, 0, L, 0, L
201597UD02511, v1, 100, W, 92.887, W, 100, W, 100, W, 15.991, L, 0, L, 15.991, L, 15.991, L, 15.991, W, 0, L, 15.991, W, 15.991, W
201597UD02511, v2, 100, L, 64.411, L, 100, L, 64.411, L, 34.031, W, 20.107, W, 34.031, W, 34.031, W, 13.924, L, 13.924, W, 13.924, L, 13.924, L
201597UD02304, v1, 100, W, 61.305, L, 100, W, 100, W, 100, W, 61.305, L, 100, W, 100, W, 16.636, W, 16.636, W, 16.636, W, 16.636, W
201597UD02304, v2, 55.092, L, 55.092, W, 55.092, L, 55.092, L, 55.092, L, 55.092, W, 55.092, L, 55.092, L, 12.576, L, 12.576, L, 12.576, L, 12.576, L
201597UC70806, v1, 31.566, L, 10.101, W, 31.566, L, 10.101, L, 10.101, L, 10.101, W, 10.101, L, 10.101, L, 10.101, L, 10.101, W, 10.101, L, 10.101, L
201597UC70806, v2, 53.179, W, 15.641, L, 2.513, W, 2.513, W, 18.154, W, 15.641, L, 2.513, W, 2.513, W, 2.513, W, 0, L, 2.513, W, 2.513, W
201597UC42201, v1, 100, W, 1.574, W, 11.944, W, 11.944, W, 43.889, W, 1.574, W, 1.574, W, 1.574, W, 11.944, W, 1.574, W, 1.574, W, 1.574, W
201597UC42201, v2, 60.84, L, 29.614, L, 60.84, L, 30.717, L, 1.103, L, 0, L, 1.103, L, 0, L, 1.103, L, 0, L, 1.103, L, 0, L
201597UC03512, v1, 47.837, W, 4.648, L, 12.201, W, 12.201, W, 12.201, W, 4.648, W, 12.201, W, 12.201, W, 12.201, W, 4.648, W, 4.648, W, 4.648, W
201597UC03512, v2, 62.71, L, 31.641, W, 62.71, L, 31.068, L, 31.068, L, 0, L, 31.068, L, 31.068, L, 0, L, 0, L, 0, L, 0, L
201597UC03003, v1, 100, L, 100, L, 100, L, 100, L, 58.345, L, 15.31, W, 58.345, L, 15.31, L, 35.034, L, 15.31, W, 35.034, L, 15.31, L
201597UC03003, v2, 100, W, 100, W, 100, W, 100, W, 5.156, W, 0, L, 5.156, W, 5.156, W, 5.156, W, 0, L, 5.156, W, 5.156, W
